group_type,group,filter_name,rows,sl,tp2,sl_rate,tp2_rate,avg_r,total_r,sl_removed_vs_base,tp2_retention_vs_base,total_r_delta_vs_base
test_window,2025-07-01 2025-10-01,base_v1_test_unfiltered,473.0,272.0,193.0,0.5750528541226215,0.4080338266384778,0.35187872119696434,166.43863512616414,0.0,1.0,0.0
test_window,2025-10-01 2026-01-01,base_v1_test_unfiltered,638.0,424.0,209.0,0.664576802507837,0.3275862068965517,0.06216140383852068,39.658975648976195,0.0,1.0,0.0
test_window,2026-01-01 2026-04-01,base_v1_test_unfiltered,610.0,370.0,226.0,0.6065573770491803,0.3704918032786885,0.2728192553918003,166.41974578899817,0.0,1.0,0.0
test_window,2025-07-01 2025-10-01,static_v1_5_mss_variable,308.0,150.0,153.0,0.487012987012987,0.4967532467532468,0.6610240707130178,203.5954137796095,0.4485294117647059,0.7927461139896373,37.15677865344534
test_window,2025-10-01 2026-01-01,static_v1_5_mss_variable,398.0,225.0,168.0,0.5653266331658291,0.4221105527638191,0.40544972747388724,161.36899153460712,0.4693396226415094,0.8038277511961722,121.71001588563092
test_window,2026-01-01 2026-04-01,static_v1_5_mss_variable,335.0,158.0,166.0,0.4716417910447761,0.4955223880597015,0.666653635573314,223.3289679170602,0.572972972972973,0.7345132743362832,56.90922212806203
test_window,2025-07-01 2025-10-01,ml_stage2_prob_ge_0.25,340.0,166.0,169.0,0.48823529411764705,0.4970588235294118,0.6615900300002068,224.9406102000703,0.3897058823529412,0.8756476683937824,58.50197507390615
test_window,2025-10-01 2026-01-01,ml_stage2_prob_ge_0.25,473.0,270.0,198.0,0.5708245243128964,0.4186046511627907,0.3837964204495101,181.53570687261828,0.3632075471698113,0.9473684210526315,141.87673122364208
test_window,2026-01-01 2026-04-01,ml_stage2_prob_ge_0.25,372.0,179.0,181.0,0.48118279569892475,0.48655913978494625,0.6430427030149786,239.21188552157201,0.5162162162162162,0.8008849557522124,72.79213973257384
test_window,2025-07-01 2025-10-01,ml_stage2_prob_ge_0.30,270.0,125.0,140.0,0.46296296296296297,0.5185185185185185,0.697222418019704,188.25005286532007,0.5404411764705882,0.7253886010362695,21.811417739155928
test_window,2025-10-01 2026-01-01,ml_stage2_prob_ge_0.30,457.0,260.0,192.0,0.5689277899343544,0.4201312910284464,0.38195261715389206,174.55234603932868,0.3867924528301887,0.9186602870813397,134.8933703903525
test_window,2026-01-01 2026-04-01,ml_stage2_prob_ge_0.30,338.0,162.0,165.0,0.47928994082840237,0.4881656804733728,0.6369941014724277,215.3040062976806,0.5621621621621622,0.7300884955752213,48.88426050868242
